time(1),x(2),y(3),h(4),lon(5),lat(6),v(7),vz(8),theta(9),phi(10),psi(11),alf(12),beta(13),p(14),q(15),r(16),nx_out(17),ny_out(18),nz_out(19),ele(20),ail(21),rud(22),throttle(23)
0,-0.033742325,-3.198569775,3000,109.5385062,34.83082113,319.9725038,0,-0.193511963,0,-25,-0.193495209,0,0,-2.53E-07,0,-0.283946289,0,0.998111984,-1.173897477,0,0,0
0.01,-0.067481752,-6.396864705,2999.999999,109.5384914,34.83084725,319.9273043,9.16E-05,-0.193511963,0,-25,-0.193482103,0,-6.63E-13,0.000761083,-6.41E-12,-0.46459064,0,0.997689857,-1.176194163,0,0,-16456.80714
0.02,-0.101216413,-9.594707838,2999.999997,109.5384766,34.83087337,319.9450362,0.00016478,-0.193511963,0,-25,-0.193175893,-0.000642802,3.34916558,0.041270783,0.153413055,0.17761675,-0.036622468,0.983593241,-1.296095704,-2.880300576,0,42220
0.03,-0.134988818,-12.79272783,2999.999979,109.5384618,34.8308995,319.9625629,0.001832069,-0.193084717,0.033486474,-24.99847412,-0.192249262,-0.003250079,8.041292157,0.121560499,0.37591814,0.175563652,-0.054713293,0.971337305,-1.418235979,-4.18754355,0,42220
0.04,-0.168816698,-15.99092243,2999.999932,109.5384471,34.83092562,319.9799044,0.00469149,-0.191864014,0.113886729,-24.99472046,-0.190357506,-0.008393804,13.19840937,0.237494214,0.629749249,0.173707882,-0.064113357,0.962321172,-1.52960592,-4.799850511,0,42220
0.05,-0.202708801,-19.18928971,2999.999848,109.5384323,34.83095174,319.9970816,0.008399198,-0.18951416,0.245849714,-24.98840332,-0.187195052,-0.01630818,18.43909968,0.384814795,0.897604892,0.172063438,-0.069164454,0.956802033,-1.629345189,-5.103908358,0,42220
0.06,-0.236668992,-22.38782796,2999.999722,109.5384175,34.83097787,320.0141138,0.012577435,-0.185699463,0.430210978,-24.97940063,-0.182492212,-0.027070177,23.60025712,0.559547967,1.171175607,0.170620087,-0.071788466,0.954838187,-1.717984478,-5.269956221,0,42220
0.07,-0.270698083,-25.58653575,2999.999554,109.5384027,34.831004,320.0310185,0.016841555,-0.180206299,0.666175425,-24.96765137,-0.176011957,-0.040678558,28.61464515,0.758024249,1.446108328,0.169364437,-0.072844348,0.956446802,-1.79622531,-5.37299178,0,42220
0.08,-0.304794665,-28.78541179,2999.999346,109.5383879,34.83103013,320.0478111,0.020807571,-0.172790527,0.95227617,-24.95309448,-0.167547379,-0.057088491,33.45702316,0.976852265,1.719799957,0.168283436,-0.072725402,0.961629675,-1.864746718,-5.446108228,0,42220
0.09,-0.338955474,-31.98445501,2999.999105,109.5383731,34.83105625,320.0645052,0.024095254,-0.163299561,1.286794066,-24.9357605,-0.156919591,-0.076226805,38.12044846,1.212890799,1.990434179,0.167364885,-0.071622166,0.970377286,-1.924181115,-5.50396365,0,42220
