eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/clip_fraction,train/n_updates,train/approx_kl,train/std,train/explained_variance,train/entropy_loss,train/learning_rate,train/clip_range,train/value_loss,train/loss,train/policy_gradient_loss
-179.81246339973913,361.1770833333333,0.010416666666666666,3801088,,,,0.12746429443359375,140,0.010256341,0.6643887162208557,0.8858441486954689,-7.882975339889526,0.00029449497599999997,0.2,31.106687331199645,19.648828506469727,-0.015941190731246023
,,,3801088,1690,2248,29,,,,,,,,,,,
-185.58870661715892,354.875,0.010416666666666666,3932160,,,,0.12434539794921876,145,0.01146318,0.658936083316803,0.8793368861079216,-7.872713798284531,0.00029429836799999996,0.2,28.963393115997313,15.346096992492676,-0.015722490067128093
,,,3932160,1685,2332,30,,,,,,,,,,,
-184.87683779254016,354.0208333333333,0.0,4063232,,,,0.0851837158203125,150,0.009703912,0.6507914662361145,0.9030167460441589,-7.818198359012603,0.00029410175999999995,0.2,21.644782769680024,11.031780242919922,-0.014314025548810606
,,,4063232,1680,2418,31,,,,,,,,,,,
-182.32121815452373,346.71875,0.0,4194304,,,,0.1560791015625,155,0.011697808,0.6441211700439453,0.8582246899604797,-7.7796414405107495,0.00029390515199999995,0.2,31.110119009017943,14.294549942016602,-0.021031884642434308
,,,4194304,1675,2502,32,,,,,,,,,,,
-174.57904428861366,332.6875,0.03125,4325376,,,,0.11063995361328124,160,0.008329228,0.636624276638031,0.838926374912262,-7.760795605182648,0.00029370854399999994,0.2,37.768957591056825,20.785184860229492,-0.013312139024492353
,,,4325376,1672,2586,33,,,,,,,,,,,
-180.36449742862433,338.46875,0.0,4456448,,,,0.10306854248046875,165,0.011090633,0.6297624111175537,0.8961780667304993,-7.722936391830444,0.000293511936,0.2,16.96142547726631,7.28363037109375,-0.012720064335007919
,,,4456448,1668,2671,34,,,,,,,,,,,
-177.76585196063306,333.2604166666667,0.010416666666666666,4587520,,,,0.098974609375,170,0.010696415,0.6212016940116882,0.8618319779634476,-7.645930206775665,0.000293315328,0.2,29.15457202196121,14.55423641204834,-0.018711258804250973
,,,4587520,1664,2755,35,,,,,,,,,,,
-175.79142016669766,337.5729166666667,0.010416666666666666,4718592,,,,0.15546722412109376,175,0.016546706,0.6065981388092041,0.8078098744153976,-7.641977396607399,0.00029311872,0.2,40.453672635555264,16.20405387878418,-0.014609893215674675
,,,4718592,1661,2839,36,,,,,,,,,,,
-174.56900318203301,335.53125,0.010416666666666666,4849664,,,,0.092291259765625,180,0.011436267,0.5978748202323914,0.897107221186161,-7.599784961342811,0.00029292211199999997,0.2,19.395979589223863,11.711289405822754,-0.008004440847435035
,,,4849664,1657,2925,37,,,,,,,,,,,
-176.68790119583446,343.6458333333333,0.0,4980736,,,,0.1939483642578125,185,0.029492168,0.5898289084434509,0.9002529010176659,-7.555780270695687,0.00029272550399999996,0.2,16.27589640021324,7.458844184875488,-0.012335641663958086
,,,4980736,1653,3011,38,,,,,,,,,,,
-177.5499818802003,344.1875,0.0,5111808,,,,0.1516204833984375,190,0.008800862,0.5837934613227844,0.8724961578845978,-7.526214009523391,0.00029252889599999996,0.2,23.933218801021575,13.661718368530273,-0.009746381895820378
,,,5111808,1650,3096,39,,,,,,,,,,,
-176.88671955771534,337.5416666666667,0.0,5242880,,,,0.09015350341796875,195,0.008256359,0.5830579996109009,0.8967855051159859,-7.50579463839531,0.000292332288,0.2,16.493884599208833,8.850064277648926,-0.008805000937718433
,,,5242880,1648,3180,40,,,,,,,,,,,
-178.19843513597857,336.75,0.0,5373952,,,,0.09210052490234374,200,0.011259075,0.5812748074531555,0.9305303692817688,-7.480236753821373,0.00029213568,0.2,11.476242476701737,5.729759216308594,-0.007045558662139228
,,,5373952,1646,3264,41,,,,,,,,,,,
-175.3210251244416,330.53125,0.0,5505024,,,,0.1519989013671875,205,0.013408981,0.57558274269104,0.8797318339347839,-7.508731082081795,0.000291939072,0.2,19.42613765001297,7.467583179473877,-0.010537215096701403
,,,5505024,1643,3350,42,,,,,,,,,,,
-171.9361080997201,324.8333333333333,0.010416666666666666,5636096,,,,0.10484619140625,210,0.011728652,0.5701754689216614,0.9220666363835335,-7.461234572529793,0.000291742464,0.2,12.586418136954308,7.026561260223389,-0.011016768371337093
,,,5636096,1640,3434,43,,,,,,,,,,,
-173.89851998785124,328.5833333333333,0.0,5767168,,,,0.136273193359375,215,0.017244313,0.5629447102546692,0.9049265310168266,-7.459221836924553,0.000291545856,0.2,14.269936463236808,5.523120403289795,-0.006822788363933796
,,,5767168,1639,3518,44,,,,,,,,,,,
-172.35826019308422,314.3229166666667,0.0,5898240,,,,0.1869110107421875,220,0.017478997,0.5578631162643433,0.9216016009449959,-7.417431953549385,0.000291349248,0.2,12.343805277347565,5.377084732055664,-0.010250315204029904
,,,5898240,1636,3603,45,,,,,,,,,,,
-173.23083216605355,324.4166666666667,0.0,6029312,,,,0.163690185546875,225,0.013114162,0.5528643727302551,0.8709705024957657,-7.4053102970123295,0.00029115263999999997,0.2,21.832046723365785,7.835271835327148,-0.014249399132677355
,,,6029312,1634,3688,46,,,,,,,,,,,
-171.60447513406135,327.125,0.0,6160384,,,,0.08787689208984376,230,0.0080454815,0.5474194884300232,0.943095576018095,-7.350678995251656,0.00029095603199999996,0.2,9.452992969751358,4.767568588256836,-0.006949126398103545
,,,6160384,1632,3772,47,,,,,,,,,,,
-170.27484658537992,311.0208333333333,0.010416666666666666,6291456,,,,0.11709747314453126,235,0.007990944,0.5488153100013733,0.9456800147891045,-7.331068161129951,0.00029075942399999996,0.2,9.243488717079163,5.198931694030762,-0.005286881703796098
,,,6291456,1630,3858,48,,,,,,,,,,,
-172.02719720299157,326.8541666666667,0.010416666666666666,6422528,,,,0.10734710693359376,240,0.008290438,0.5473132729530334,0.9167164489626884,-7.31731339097023,0.00029056281599999995,0.2,14.077952456474303,4.4694013595581055,-0.009189861118647969
,,,6422528,1626,3948,49,,,,,,,,,,,
-171.9105484742881,320.8229166666667,0.0,6553600,,,,0.1637847900390625,245,0.009405391,0.5453131794929504,0.9419191107153893,-7.342234048247337,0.00029036620799999995,0.2,10.677459460496902,4.387635231018066,0.0005721587669540896
,,,6553600,1623,4037,50,,,,,,,,,,,
-167.84772785070726,323.8333333333333,0.010416666666666666,6684672,,,,0.11513214111328125,250,0.009881781,0.5451411604881287,0.9502478428184986,-7.303692948818207,0.0002901696,0.2,8.27732115983963,4.973402976989746,-0.008707248659629841
,,,6684672,1620,4125,51,,,,,,,,,,,
-169.50655635575626,322.6145833333333,0.0,6815744,,,,0.120330810546875,255,0.01000814,0.5428019165992737,0.9321875497698784,-7.330702430009842,0.000289972992,0.2,12.269119101762772,5.691282272338867,-0.008593551610829309
,,,6815744,1617,4213,52,,,,,,,,,,,
-165.87937457049478,329.9479166666667,0.0,6946816,,,,0.08402252197265625,260,0.0075663775,0.5385006666183472,0.9213764369487762,-7.30006797015667,0.000289776384,0.2,15.032197898626327,5.865338325500488,-0.006376768228801666
,,,6946816,1614,4302,53,,,,,,,,,,,
-167.20209832100002,317.8333333333333,0.010416666666666666,7077888,,,,0.1271575927734375,265,0.011264309,0.5354883074760437,0.9617114923894405,-7.273606106638908,0.000289579776,0.2,7.445744095742702,3.4978790283203125,-0.005888298817080795
,,,7077888,1611,4390,54,,,,,,,,,,,
-165.17692730278,322.4479166666667,0.010416666666666666,7208960,,,,0.15931243896484376,270,0.008193736,0.5325161218643188,0.9289290308952332,-7.274233794212341,0.00028938316799999997,0.2,13.016861128807069,8.326150894165039,-0.0033296779030933974
,,,7208960,1609,4480,55,,,,,,,,,,,
-168.22641893670507,321.8020833333333,0.0,7340032,,,,0.1812957763671875,275,0.032624193,0.5283616185188293,0.9279467537999153,-7.229416361451149,0.00028918655999999996,0.2,15.301751846075058,7.0896196365356445,-0.0014633012484409845
,,,7340032,1604,4574,56,,,,,,,,,,,
-164.81329275563473,315.625,0.010416666666666666,7471104,,,,0.09436492919921875,280,0.013622029,0.5245433449745178,0.9574370793998241,-7.20654322206974,0.00028898995199999996,0.2,9.23860747218132,5.335519790649414,-0.004881277255481109
,,,7471104,1603,4660,57,,,,,,,,,,,
-167.67841041656794,313.59375,0.0,7602176,,,,0.13567962646484374,285,0.010210283,0.5209296345710754,0.9492377191781998,-7.188402843475342,0.000288793344,0.2,10.827807900309562,5.526075839996338,-0.006433695911982795
,,,7602176,1600,4749,58,,,,,,,,,,,
-165.28685771577665,315.2916666666667,0.010416666666666666,7733248,,,,0.1089874267578125,290,0.007600695,0.51659095287323,0.9560264684259892,-7.1920467764139175,0.000288596736,0.2,9.697611096501351,3.381795644760132,-0.0036900392951793037
,,,7733248,1598,4837,59,,,,,,,,,,,
-163.0305449797171,321.3958333333333,0.010416666666666666,7864320,,,,0.17890167236328125,295,0.008877797,0.5143217444419861,0.9444331489503384,-7.1627514362335205,0.000288400128,0.2,13.218037271499634,9.170792579650879,-0.006445145213365322
,,,7864320,1595,4928,60,,,,,,,,,,,
-162.87469079036143,326.6875,0.0,7995392,,,,0.1457183837890625,300,0.00854768,0.5116965174674988,0.9243181198835373,-7.137216627597809,0.00028820352,0.2,16.961268907785417,6.991657257080078,-0.010208105492347385
,,,7995392,1594,5013,61,,,,,,,,,,,
-158.89106549660528,320.5729166666667,0.020833333333333332,8126464,,,,0.13704071044921876,305,0.014960455,0.5106649398803711,0.9628365859389305,-7.137765291333198,0.000288006912,0.2,7.779986116290092,3.2099125385284424,-0.006649832842231263
,,,8126464,1592,5104,62,,,,,,,,,,,
-163.05017059374077,327.71875,0.0,8257536,,,,0.13960418701171876,310,0.006866077,0.5110124945640564,0.9615914039313793,-7.148177400231361,0.000287810304,0.2,8.798287981748581,4.189743518829346,-0.002608112312009325
,,,8257536,1590,5192,63,,,,,,,,,,,
-163.61901442457852,325.5625,0.0,8388608,,,,0.08445281982421875,315,0.0077416142,0.5090451240539551,0.9527638144791126,-7.131360045075416,0.00028761369599999997,0.2,11.637929105758667,6.929945468902588,-0.006523324456793489
,,,8388608,1588,5282,64,,,,,,,,,,,
-161.34592919997127,329.4375,0.0,8519680,,,,0.13235931396484374,320,0.0115947295,0.5073382258415222,0.8854974433779716,-7.157366517186165,0.00028741708799999996,0.2,30.140749287605285,13.102726936340332,-0.013795921952987556
,,,8519680,1586,5371,65,,,,,,,,,,,
-156.00898660177054,325.375,0.010416666666666666,8650752,,,,0.12993927001953126,325,0.016744293,0.5041918158531189,0.9546807818114758,-7.125415110588074,0.00028722047999999996,0.2,11.225579115748406,8.479898452758789,-0.0063329640557640236
,,,8650752,1583,5461,66,,,,,,,,,,,
-157.7817327846428,320.7916666666667,0.010416666666666666,8781824,,,,0.165234375,330,0.023676971,0.5016281604766846,0.906930536031723,-7.104246559739113,0.00028702387199999995,0.2,23.73641481399536,12.60216999053955,-0.008454800212348346
,,,8781824,1582,5550,67,,,,,,,,,,,
-156.16433931082037,327.6041666666667,0.010416666666666666,8912896,,,,0.18057098388671874,335,0.015553139,0.4983186721801758,0.9574912190437317,-7.1023090243339535,0.00028682726399999994,0.2,10.38451087474823,5.386689186096191,-0.005780476162908599
,,,8912896,1580,5640,68,,,,,,,,,,,
-156.8765255659331,327.5625,0.010416666666666666,9043968,,,,0.22847137451171876,340,0.013050421,0.49667057394981384,0.9533891901373863,-7.09739972949028,0.000286630656,0.2,11.520821940898895,4.924881935119629,-0.005267012788681314
,,,9043968,1577,5731,69,,,,,,,,,,,
-160.55001054659039,320.3854166666667,0.0,9175040,,,,0.16299591064453126,345,0.017210877,0.49520596861839294,0.9405051097273827,-7.073306855559349,0.000286434048,0.2,15.791406762599944,9.5545015335083,-0.007932922277541365
,,,9175040,1576,5821,70,,,,,,,,,,,
-161.13663083850324,324.375,0.0,9306112,,,,0.13999786376953124,350,0.008142246,0.4933089315891266,0.9425808414816856,-7.062343448400497,0.00028623744,0.2,15.285724231600762,7.225658893585205,-0.006292669390677475
,,,9306112,1575,5907,71,,,,,,,,,,,
-159.34686919945833,317.8854166666667,0.010416666666666666,9437184,,,,0.1472442626953125,355,0.010220686,0.49338242411613464,0.9533515572547913,-7.079496076703071,0.000286040832,0.2,11.668501138687134,4.730639934539795,-0.008745241144788451
,,,9437184,1574,5992,72,,,,,,,,,,,
-157.5275998119374,323.78125,0.010416666666666666,9568256,,,,0.18621063232421875,360,0.014115512,0.4912867844104767,0.8621700555086136,-7.052067682147026,0.00028584422399999997,0.2,36.97218761444092,17.765111923217773,-0.015424747107317671
,,,9568256,1572,6083,73,,,,,,,,,,,
-161.46304074252967,314.1354166666667,0.010416666666666666,9699328,,,,0.16775970458984374,365,0.025548663,0.48818954825401306,0.9535430856049061,-7.0361613124609,0.00028564761599999996,0.2,12.36301209628582,3.426158905029297,-0.004646674447576516
,,,9699328,1572,6169,74,,,,,,,,,,,
-156.7313675011017,336.90625,0.0,9830400,,,,0.2565338134765625,370,0.0148822265,0.4872719347476959,0.948087964206934,-7.03175148665905,0.00028545100799999996,0.2,13.703431099653244,5.223732948303223,-0.007916962941089878
,,,9830400,1570,6260,75,,,,,,,,,,,
-162.01388009509762,320.375,0.0,9961472,,,,0.11600341796875,375,0.011131501,0.48456573486328125,0.949463602155447,-7.02656115591526,0.0002852544,0.2,13.942946177721023,8.023280143737793,-0.006913958362565609
,,,9961472,1568,6351,76,,,,,,,,,,,
-158.86937262627904,330.3541666666667,0.0,10092544,,,,0.202490234375,380,0.013014917,0.4811677932739258,0.9600035771727562,-6.994370141625405,0.000285057792,0.2,11.400450551509858,4.434247016906738,-0.005089859645522665
,,,10092544,1567,6439,77,,,,,,,,,,,
-156.90540191237136,315.0104166666667,0.020833333333333332,10223616,,,,0.246923828125,385,0.04760657,0.4801206886768341,0.9760265313088894,-6.981721377372741,0.000284861184,0.2,7.314359514415264,4.374897480010986,-0.0004227400539093651
,,,10223616,1565,6529,78,,,,,,,,,,,
-158.60979698838497,329.0416666666667,0.0,10354688,,,,0.2366973876953125,390,0.010552892,0.47761285305023193,0.9621575772762299,-6.96927433013916,0.000284664576,0.2,10.355867007374764,8.055644989013672,-0.0019380700858164345
,,,10354688,1563,6622,79,,,,,,,,,,,
-160.48245383825903,323.8020833333333,0.0,10485760,,,,0.1828125,395,0.013121776,0.47515273094177246,0.9044190347194672,-6.9349691540002825,0.000284467968,0.2,28.535441446304322,11.7356538772583,-0.01672063024598174
,,,10485760,1562,6710,80,,,,,,,,,,,
-158.38754538637463,321.3229166666667,0.010416666666666666,10616832,,,,0.16064910888671874,400,0.0140723055,0.471255898475647,0.9507860764861107,-6.895485204458237,0.00028427136,0.2,13.778958252072334,5.875787734985352,-0.008295189267300884
,,,10616832,1561,6800,81,,,,,,,,,,,
-158.56390265172973,332.5416666666667,0.0,10747904,,,,0.14190521240234374,405,0.013801988,0.4684903919696808,0.9181878417730331,-6.855881673097611,0.00028407475199999997,0.2,25.11228209733963,11.774292945861816,-0.01013030400063144
